term2year	bills_introduced	texas0_arkansas1
0	18	0
0	29	0
0	41	0
0	53	0
0	60	0
0	67	0
0	75	0
0	79	0
0	79	0
0	88	0
0	93	0
0	101	0
0	103	0
0	106	0
0	107	0
0	131	0
1	62	0
1	58	0
1	58	0
1	62	0
1	66	0
1	60	0
1	57	0
1	54	0
1	57	0
1	61	0
1	57	0
1	65	0
1	65	0
1	56	0
1	57	0
0	11	1
0	15	1
0	17	1
0	23	1
0	24	1
0	25	1
0	26	1
0	28	1
0	31	1
0	33	1
0	34	1
0	35	1
0	35	1
0	36	1
0	38	1
0	52	1
0	59	1
1	21	1
1	23	1
1	19	1
1	17	1
1	21	1
1	18	1
1	16	1
1	18	1
1	19	1
1	18	1
1	22	1
1	25	1
1	19	1
1	20	1
1	19	1
1	20	1
1	22	1
1	18	1
