	X	Z	Yobs
1	67.83246295	1	78.85881205
2	75.80006086	0	78.7725114
3	57.7350505	0	62.31019495
4	58.91274725	0	63.38110477
5	72.1224592	1	78.29873954
6	70.73088375	0	71.73522585
7	43.48139638	0	49.3950011
8	57.50841769	0	62.67314229
9	59.9052855	0	63.92852889
10	55.22156688	0	61.42937335
11	53.5575218	1	67.63774323
12	62.66545337	0	66.12608285
13	68.7192776	0	72.02934524
14	60.13092193	1	69.79574607
15	83.684255	1	92.4565254
16	62.26178351	1	72.79907359
17	58.37114832	1	66.51896148
18	61.61822675	1	72.38535127
19	63.80305447	0	68.90387149
20	76.67510395	1	85.11299908
21	88.02096998	0	88.27642971
22	62.85473354	0	66.38357517
23	57.75889591	1	68.41719339
24	75.6482248	0	79.29151758
25	71.10901698	1	81.27181132
26	68.80993262	1	79.6442057
27	62.02760559	0	64.36940169
28	76.36486293	0	78.3743605
29	57.09305304	0	61.2900477
30	74.9599625	0	78.56463488
31	59.29779142	1	70.30135764
32	53.7684223	0	56.94363568
33	72.95458267	1	81.23779605
34	69.85051182	0	71.44404356
35	64.84517878	0	67.75612879
36	76.03350391	1	84.25858936
37	69.1445433	0	70.94415662
38	61.78965888	1	72.83571613
39	74.01545004	0	76.52683392
40	59.73106924	1	72.27352188
41	64.93552102	1	74.21526634
42	55.51648346	1	65.85870386
43	63.38304605	0	66.69962498
44	59.15823721	0	65.36241365
45	46.08729384	1	57.90799579
46	79.28877144	1	90.85357551
47	73.62834451	0	77.74102527
48	53.11973763	0	57.08220666
49	71.83854407	0	74.9670687
50	72.9274012	0	76.32662519
51	64.0681208	1	72.55687807
52	61.33187041	1	71.46098367
53	54.17798388	0	58.80392682
54	56.06863935	1	66.48113314
55	58.13573085	0	61.36193536
56	71.49826081	1	81.65059957
57	69.25809718	0	72.7595766
58	68.79337193	0	71.74355319
59	73.64794028	1	84.30346422
60	59.61288396	1	70.31611408
61	60.52024489	0	64.48426394
62	51.78221782	1	65.73745253
63	59.44668501	0	63.89394977
64	65.79024409	1	74.83500852
65	70.96174429	0	74.09698747
66	73.69796938	0	75.34455903
67	62.72501485	0	67.01759419
68	60.67538299	0	66.22459659
69	69.92493797	1	78.41328102
70	64.45446131	1	76.63750337
71	79.84189006	0	81.5094693
72	69.96685064	1	79.18663808
73	61.5668401	0	64.01260214
74	59.25402202	0	64.81883615
75	67.35782895	1	77.16316949
76	66.22849821	1	75.67089118
77	60.27805955	1	70.41699631
78	59.19318738	1	70.58847128
79	57.44651841	1	68.40597232
80	61.07409758	1	71.56874255
81	68.02269131	1	77.32867161
82	73.29405054	1	83.59358672
83	71.47931078	0	72.16449442
84	53.58116432	1	65.68403065
85	75.1086965	1	85.29054397
86	76.63533169	0	77.73177142
87	74.15043469	0	77.26935055
88	80.46835844	0	80.8332578
89	42.93990275	0	47.65494794
90	62.05667323	1	72.97219228
91	58.53047185	0	63.48804303
92	69.00109776	1	78.51099914
93	73.18248871	1	82.83744679
94	66.3350938	0	70.43676892
95	74.53218128	0	77.09394815
96	84.7099052	0	86.11691283
97	58.01620897	1	68.55264368
98	54.74140572	1	68.65915844
99	81.09060554	0	82.47284468
100	43.71579531	0	47.26663143
101	60.52291506	0	64.21028708
102	66.52825758	0	70.3257718
103	86.73112927	0	87.91513472
104	66.07769603	0	68.98320496
105	57.9775568	0	60.98402795
106	65.41529587	1	76.22118834
107	53.9650763	0	58.44203698
108	71.29115794	1	82.36984549
109	78.25853646	1	87.61456756
110	56.34213076	0	61.2995154
111	59.02542314	1	69.85036452
112	72.7934295	1	83.10521015
113	61.94514488	1	72.52957396
114	53.36398406	1	64.24737385
115	62.90560464	1	72.1251883
116	69.93058899	1	78.3872992
117	69.33596154	1	78.19423411
118	71.37607027	1	81.90364628
119	67.21108199	1	77.42560124
120	48.21241219	0	51.58886743
121	66.0891699	0	70.23399655
122	71.02073769	0	73.60672082
123	78.91882796	0	79.29438487
124	62.55054581	0	64.1569287
125	68.07650689	1	78.79616297
126	58.07903396	1	68.0904985
127	69.13369604	1	76.7912113
128	53.45801345	1	65.1695563
129	56.85789453	1	70.68349762
130	67.0867608	1	75.74605702
131	59.80878795	0	63.58228833
132	67.36236039	0	71.16764369
133	63.50511447	1	72.46557893
134	83.63647544	1	90.56823898
135	82.35122635	1	92.34303705
136	58.84514849	1	69.81705934
137	82.63757362	0	84.73001427
138	57.26210688	0	61.20432532
139	70.22863651	1	79.35174393
140	50.60061411	1	62.00575785
141	65.59258097	1	76.42303652
142	62.739962	1	72.45549762
143	66.17541753	1	78.05027653
144	82.12605879	0	82.96397443
145	67.01482715	1	78.41203704
146	73.55733479	1	85.13611496
147	56.13222816	1	66.07506004
148	55.17795602	0	60.00797602
149	53.53156923	0	58.11878984
150	54.34388123	1	67.50585939
151	60.8693373	1	70.31172289
152	66.65177732	0	69.72978476
153	72.40346006	0	73.90907612
154	71.7150387	1	80.37186327
155	69.2617517	1	80.57267146
156	79.86806988	1	88.97074054
157	83.80173135	1	91.75756403
158	61.68952619	0	66.28269675
159	55.29468417	0	58.67805739
160	51.5720224	1	62.79440724
161	56.69094213	1	69.28775066
162	74.47831817	1	84.13293616
163	65.72925854	1	77.11966682
164	76.83558356	1	86.63270467
165	76.51360688	0	78.5226039
166	71.91863473	1	82.39362502
167	66.76784177	1	77.72805718
168	61.00578823	1	71.16353336
169	72.25294281	1	82.23562284
170	64.44314085	1	73.03363439
171	63.42246182	0	67.89899902
172	62.62893635	1	74.78533747
173	83.12218109	1	93.43244431
174	72.85921507	0	76.42101231
175	59.35508106	0	62.46052818
176	63.62842325	1	73.83463046
177	64.88657175	0	68.77887958
178	70.78950979	1	79.03193903
179	50.97017095	0	55.40544948
180	75.00552356	0	77.7661285
181	45.58379196	1	55.73568101
182	80.95648705	1	89.04507808
183	80.70905948	0	82.9124382
184	63.44376766	0	68.04473344
185	58.22516326	1	69.45533763
186	67.15606367	1	76.93513907
187	41.40895994	0	48.75324412
188	47.80582925	0	53.25553249
189	76.89501018	0	79.48351181
190	71.180203	0	74.20922345
191	71.4881045	1	81.46890195
192	56.85557388	1	66.66888487
193	60.98995322	1	72.76928128
194	71.27697702	1	80.79387921
195	61.76327031	0	65.92382504
196	69.66950451	0	71.1657539
197	60.71543781	1	71.63722061
198	50.20519559	1	62.06919175
199	53.13064244	1	64.69021376
200	56.24480648	1	68.47073707
201	59.54017678	0	63.85635437
202	74.50869793	1	85.0180491
203	77.528128	1	88.04420376
204	52.58710632	1	64.58251299
205	63.73390903	0	66.69436767
206	54.93187724	1	66.47141847
207	67.80722786	0	70.10245395
208	68.0122599	0	71.64963337
209	63.64112999	0	67.26491698
210	62.72308079	1	73.82825326
211	68.48801513	1	80.01384118
212	57.83849043	0	62.38924286
